기업명,코드,업종,15회업종분류,"규모
코드","내부
지분율
(4)","전문경영인정도
(3)","소비성
지출
(3)","위험성
(5)","관계사
출자
(3)","관계사
지급보증
(2)","건전성
(20점)","공정거래1
(1)","공정거래2
(2)","불성실
공시
(2)","
사업
보고서 
적정성
(2)","사외이사비율
(2)","사외이사의이사회
참여
(2)","공정성
(11점)","장애인
고용비율
(2)","여성
채용비율
(2)","기부금
(3)","사회봉사
기여도
(7)","공산품사후봉사
우수기업인증
(2)","품질
관련인증
(3)","광고비
과다지출
(2)","소비자보호만족도
총점
(7)","환경
회계공시
(2)","에너지
효율
(2)","환경관련인증 
및 수상
(3)","수,대,특 
오염실태(3)","환경보호만족도
총점
(10)","작업장
보건
안전인증(2)","1인당
교육훈련비
(2)","교육훈련비
증가율
(2)","임금
보상체계
(2)","복지후생
(2)","종업원
만족도
총점
(10)","연구개발지출
(제조2점/
비제조3점)","특허및장영실상
(제조1점)","수익성
(1)","성장성
(1)","설비투자
(제조1점)","고용인력
증가율
(비제조1점)","조세납부
(제조1점,
비제조2점)","배당성향
(1)","노동생산성
증가율
(1)","수출비중
(제조1점)","경제발전
기여도
(10)","정량평가
총점
(75)"
부산산업,' 11390,비금속광물제조업,금속/비금속/화학업,3 ,2.22 ,2.10 ,2.10 ,5.00 ,1.65 ,1.10 ,14.17 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,1.19 ,0.50 ,3.00 ,4.69 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,1.86 ,0.98 ,2.00 ,0.92 ,6.27 ,0.50 ,0.25 ,0.43 ,0.26 ,1.00 ,,0.48 ,0.36 ,0.43 ,0.25 ,3.96 ,46.94 
대원제약,' 03220,화학제품제조업,식약/섬유/종이업,3 ,2.64 ,1.20 ,2.55 ,5.00 ,2.55 ,1.70 ,15.64 ,0.85 ,1.70 ,1.70 ,2.00 ,1.50 ,0.50 ,8.25 ,0.75 ,0.50 ,1.66 ,2.91 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,1.31 ,2.00 ,1.19 ,7.00 ,2.00 ,0.25 ,0.37 ,0.26 ,1.00 ,,0.47 ,0.30 ,0.49 ,0.40 ,5.55 ,46.89 
남양유업,' 03920,음식료품제조업,식약/섬유/종이업,1 ,2.92 ,1.65 ,3.00 ,5.00 ,2.55 ,1.40 ,16.52 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,0.70 ,1.70 ,0.87 ,3.27 ,1.00 ,0.75 ,0.50 ,2.25 ,1.70 ,1.40 ,0.75 ,1.65 ,5.50 ,0.50 ,1.77 ,0.89 ,1.36 ,0.68 ,5.19 ,1.10 ,0.40 ,0.49 ,0.26 ,1.00 ,,0.43 ,0.25 ,0.43 ,0.40 ,4.75 ,46.83 
SK텔레콤,' 17670,통신업,비제조/서비스업,1 ,3.17 ,2.55 ,3.00 ,4.25 ,1.65 ,1.70 ,16.32 ,0.25 ,0.50 ,1.70 ,2.00 ,2.00 ,1.50 ,7.95 ,0.56 ,1.10 ,1.38 ,3.04 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.88 ,0.65 ,0.50 ,4.53 ,2.55 ,,0.81 ,0.26 ,,0.70 ,1.33 ,0.34 ,0.45 ,,6.43 ,46.78 
한독약품,' 02390,화학제품제조업,식약/섬유/종이업,2 ,1.88 ,2.55 ,1.65 ,4.25 ,2.55 ,1.70 ,14.58 ,0.55 ,1.70 ,1.70 ,2.00 ,1.50 ,0.50 ,7.95 ,0.64 ,1.70 ,3.00 ,5.34 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,2.00 ,0.86 ,1.63 ,0.79 ,5.78 ,1.10 ,0.25 ,0.51 ,0.26 ,0.84 ,,0.52 ,0.30 ,0.45 ,0.40 ,4.62 ,46.71 
에넥스,' 11090,가구제조업,식약/섬유/종이업,2 ,3.20 ,1.20 ,3.00 ,3.50 ,2.10 ,1.70 ,14.70 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,1.33 ,0.50 ,1.40 ,3.23 ,1.70 ,1.20 ,1.00 ,3.90 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,0.50 ,2.00 ,0.95 ,2.00 ,1.43 ,6.88 ,1.10 ,0.70 ,0.31 ,0.26 ,0.62 ,,0.27 ,0.31 ,0.38 ,0.40 ,4.34 ,46.71 
태양금속공업,' 04100,자동차제조,전기전자/기계업,2 ,2.34 ,2.55 ,3.00 ,2.00 ,2.55 ,1.70 ,14.14 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,0.50 ,8.75 ,1.25 ,0.50 ,0.76 ,2.51 ,1.00 ,1.65 ,1.50 ,4.15 ,1.70 ,1.40 ,1.65 ,2.55 ,7.30 ,0.50 ,1.62 ,0.72 ,1.30 ,1.23 ,5.37 ,1.10 ,0.25 ,0.37 ,0.26 ,1.00 ,,0.29 ,0.26 ,0.41 ,0.55 ,4.49 ,46.71 
조흥,' 02600,음식료품제조업,식약/섬유/종이업,3 ,2.17 ,2.10 ,2.55 ,5.00 ,2.55 ,1.70 ,16.07 ,0.85 ,1.70 ,1.70 ,1.60 ,1.10 ,2.00 ,8.95 ,1.19 ,1.70 ,0.90 ,3.79 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,0.74 ,1.46 ,2.00 ,1.04 ,5.74 ,0.80 ,0.25 ,0.31 ,0.26 ,1.00 ,,0.40 ,0.30 ,0.36 ,0.40 ,4.08 ,46.68 
조선내화,' 00480,비금속광물제조업,금속/비금속/화학업,2 ,2.31 ,2.10 ,2.10 ,5.00 ,1.65 ,1.70 ,14.86 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,0.50 ,6.85 ,2.00 ,0.50 ,3.00 ,5.50 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,0.75 ,2.10 ,5.25 ,0.50 ,1.94 ,0.81 ,1.14 ,1.55 ,5.93 ,1.10 ,0.55 ,0.51 ,0.26 ,1.00 ,,0.49 ,0.28 ,0.40 ,0.40 ,4.98 ,46.63 
한국포리올,' 25000,화학제품제조업,금속/비금속/화학업,2 ,2.54 ,2.10 ,1.65 ,5.00 ,2.10 ,1.70 ,15.09 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,1.19 ,0.50 ,0.75 ,2.44 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,1.65 ,2.55 ,7.30 ,0.50 ,2.00 ,0.50 ,0.50 ,2.00 ,5.50 ,1.10 ,0.40 ,0.60 ,0.26 ,1.00 ,,1.00 ,0.27 ,0.31 ,0.85 ,5.79 ,46.62 
가온전선,' 00500,전기장비제조,전기전자/기계업,1 ,2.71 ,2.10 ,2.10 ,3.50 ,2.55 ,1.70 ,14.66 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,0.50 ,1.40 ,1.18 ,3.08 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,2.00 ,1.50 ,1.00 ,0.94 ,5.95 ,1.10 ,0.40 ,0.42 ,0.26 ,1.00 ,,0.31 ,0.30 ,0.43 ,0.40 ,4.62 ,46.60 
일성건설,' 13360,종합건설업,비제조/서비스업,2 ,1.49 ,2.55 ,2.55 ,4.25 ,2.55 ,1.70 ,15.09 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,2.00 ,8.35 ,1.19 ,0.50 ,3.00 ,4.69 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,1.54 ,0.91 ,1.34 ,0.93 ,5.21 ,1.20 ,,0.36 ,0.27 ,,0.85 ,0.50 ,0.28 ,0.38 ,,3.85 ,46.59 
성보화학,' 03080,화학제품제조업,금속/비금속/화학업,3 ,1.86 ,2.10 ,3.00 ,5.00 ,2.55 ,1.70 ,16.21 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,1.50 ,8.85 ,1.19 ,0.50 ,3.00 ,4.69 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,0.50 ,0.50 ,2.00 ,0.50 ,4.00 ,1.40 ,0.25 ,0.30 ,0.26 ,1.00 ,,0.32 ,0.34 ,0.52 ,0.40 ,4.79 ,46.59 
국도화학,' 07690,화학제품제조업,금속/비금속/화학업,2 ,2.81 ,2.10 ,3.00 ,3.50 ,1.65 ,1.10 ,14.16 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,1.50 ,0.50 ,0.80 ,2.80 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,0.50 ,2.00 ,1.06 ,1.95 ,0.65 ,6.15 ,0.50 ,0.25 ,0.44 ,0.26 ,0.87 ,,0.36 ,0.31 ,0.60 ,0.85 ,4.44 ,46.55 
제일약품,' 02620,화학제품제조업,식약/섬유/종이업,2 ,2.41 ,2.10 ,2.55 ,4.25 ,2.10 ,1.70 ,15.11 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,0.50 ,6.85 ,0.63 ,0.50 ,3.00 ,4.13 ,1.00 ,0.75 ,1.00 ,2.75 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,0.88 ,1.55 ,1.43 ,6.36 ,1.40 ,0.70 ,0.72 ,0.26 ,1.00 ,,0.58 ,0.26 ,0.52 ,0.40 ,5.85 ,46.55 
한진,' 02320,육상운송업,비제조/서비스업,1 ,2.87 ,2.55 ,3.00 ,4.25 ,1.65 ,0.50 ,14.82 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.81 ,1.70 ,3.00 ,6.51 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,2.00 ,1.15 ,1.03 ,0.86 ,5.55 ,0.75 ,,0.34 ,0.26 ,,0.25 ,0.62 ,0.31 ,0.33 ,,2.86 ,46.53 
웅진씽크빅,' 16880,교육서비스업,비제조/서비스업,1 ,2.85 ,2.10 ,3.00 ,5.00 ,1.65 ,1.40 ,16.00 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,1.50 ,8.85 ,0.53 ,0.50 ,1.44 ,2.46 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.85 ,2.00 ,1.36 ,6.71 ,2.55 ,,0.42 ,0.26 ,,0.25 ,0.64 ,0.32 ,0.50 ,,4.93 ,46.50 
대한제분,' 01130,음식료품제조업,식약/섬유/종이업,1 ,2.80 ,2.55 ,3.00 ,2.75 ,2.10 ,1.70 ,14.90 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.91 ,1.70 ,1.27 ,4.88 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,0.75 ,2.55 ,5.70 ,0.50 ,2.00 ,0.73 ,1.32 ,0.57 ,5.11 ,0.50 ,0.25 ,0.48 ,0.26 ,1.00 ,,0.62 ,0.26 ,0.57 ,0.40 ,4.34 ,46.48 
세림제지,' 27970,종이제품제조,식약/섬유/종이업,2 ,2.49 ,2.10 ,2.10 ,4.25 ,2.10 ,1.70 ,14.74 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,2.00 ,8.35 ,1.75 ,0.50 ,0.99 ,3.24 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,0.69 ,1.51 ,1.48 ,6.18 ,1.40 ,0.55 ,0.28 ,0.26 ,1.00 ,,0.31 ,0.37 ,0.35 ,0.70 ,5.22 ,46.47 
한국타이어,' 00240,고무제품제조,금속/비금속/화학업,1 ,2.79 ,1.65 ,2.10 ,4.25 ,2.55 ,1.10 ,14.44 ,0.55 ,1.10 ,1.70 ,2.00 ,1.10 ,0.50 ,6.95 ,1.07 ,0.50 ,1.76 ,3.33 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,1.50 ,2.00 ,0.74 ,0.69 ,0.56 ,5.50 ,1.70 ,0.85 ,0.63 ,0.26 ,1.00 ,,0.52 ,0.28 ,0.46 ,0.85 ,6.55 ,46.41 
효성,' 04800,화학제품제조업,금속/비금속/화학업,1 ,2.89 ,2.55 ,2.10 ,2.75 ,1.65 ,0.80 ,12.74 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,0.50 ,8.75 ,1.94 ,0.50 ,1.00 ,3.44 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,2.10 ,2.10 ,6.60 ,1.50 ,2.00 ,0.88 ,0.73 ,0.50 ,5.62 ,1.40 ,0.70 ,0.34 ,0.26 ,1.00 ,,0.31 ,0.28 ,0.43 ,0.85 ,5.57 ,46.41 
대덕GDS,' 04130,영상통신장비제조,전기전자/기계업,2 ,3.22 ,2.10 ,2.55 ,5.00 ,2.10 ,1.70 ,16.67 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,0.50 ,6.85 ,0.73 ,0.50 ,1.57 ,2.80 ,1.00 ,2.10 ,1.50 ,4.60 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,2.00 ,1.20 ,1.03 ,0.69 ,5.42 ,0.50 ,0.40 ,0.42 ,0.26 ,1.00 ,,0.37 ,0.30 ,0.40 ,0.70 ,4.35 ,46.39 
삼화왕관,' 04450,조립금속제조업,전기전자/기계업,2 ,2.32 ,2.55 ,1.20 ,5.00 ,1.65 ,1.70 ,14.42 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.19 ,0.50 ,3.00 ,4.69 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,0.75 ,2.55 ,5.70 ,0.50 ,2.00 ,0.82 ,1.20 ,0.83 ,5.35 ,1.40 ,0.40 ,0.48 ,0.26 ,1.00 ,,0.50 ,0.30 ,0.39 ,0.40 ,5.13 ,46.39 
풍산,' 05810,제1차금속산업,금속/비금속/화학업,1 ,3.32 ,2.55 ,3.00 ,2.75 ,1.65 ,0.80 ,14.07 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.54 ,0.50 ,1.89 ,3.93 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,1.11 ,0.81 ,2.00 ,0.50 ,4.92 ,1.40 ,0.55 ,0.51 ,0.26 ,1.00 ,,0.42 ,0.28 ,0.58 ,0.70 ,5.70 ,46.32 
오뚜기,' 07310,음식료품제조업,식약/섬유/종이업,1 ,1.94 ,1.65 ,3.00 ,4.25 ,1.65 ,1.70 ,14.19 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,0.50 ,6.85 ,0.68 ,1.70 ,1.29 ,3.66 ,1.00 ,0.75 ,1.00 ,2.75 ,1.70 ,1.40 ,1.65 ,2.55 ,7.30 ,1.50 ,2.00 ,0.90 ,1.88 ,0.94 ,7.23 ,0.50 ,0.55 ,0.56 ,0.26 ,0.98 ,,0.32 ,0.27 ,0.49 ,0.40 ,4.33 ,46.30 
금비,' 08870,비금속광물제조업,금속/비금속/화학업,3 ,2.02 ,1.20 ,3.00 ,4.25 ,2.10 ,1.70 ,14.27 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,1.13 ,0.50 ,1.26 ,2.89 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,0.50 ,2.00 ,0.84 ,1.85 ,0.97 ,6.16 ,0.80 ,0.25 ,0.68 ,0.26 ,1.00 ,,0.45 ,0.27 ,0.47 ,0.40 ,4.58 ,46.29 
현대엘리베이터,' 17800,기타장비제조업,전기전자/기계업,1 ,2.97 ,2.55 ,3.00 ,3.50 ,1.65 ,1.70 ,15.37 ,0.85 ,1.70 ,1.10 ,2.00 ,1.50 ,2.00 ,9.15 ,1.15 ,0.50 ,0.78 ,2.44 ,1.70 ,0.75 ,1.50 ,3.95 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,1.93 ,1.33 ,0.63 ,0.50 ,4.89 ,1.40 ,0.70 ,1.00 ,0.26 ,0.52 ,,0.37 ,0.26 ,0.60 ,0.55 ,5.66 ,46.25 
KEC,' 06200,영상통신장비제조,전기전자/기계업,1 ,3.00 ,2.10 ,3.00 ,5.00 ,1.65 ,1.10 ,15.85 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,0.87 ,0.50 ,1.18 ,2.56 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,0.89 ,1.26 ,0.88 ,5.53 ,1.40 ,0.70 ,0.32 ,0.26 ,1.00 ,,0.43 ,0.30 ,0.58 ,0.85 ,5.85 ,46.23 
조광페인트,' 04910,화학제품제조업,금속/비금속/화학업,2 ,2.88 ,2.55 ,2.55 ,2.00 ,1.65 ,1.70 ,13.33 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,1.50 ,8.85 ,0.71 ,0.50 ,1.51 ,2.72 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,0.50 ,2.00 ,0.69 ,2.00 ,1.90 ,7.08 ,1.10 ,0.25 ,0.25 ,0.26 ,1.00 ,,0.29 ,0.25 ,0.35 ,0.40 ,4.15 ,46.23 
미원상사,' 02840,화학제품제조업,금속/비금속/화학업,2 ,2.54 ,0.75 ,3.00 ,5.00 ,1.65 ,1.40 ,14.34 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,1.50 ,8.85 ,1.19 ,0.50 ,0.77 ,2.46 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,1.45 ,1.65 ,0.57 ,6.16 ,1.70 ,0.25 ,0.60 ,0.26 ,1.00 ,,0.33 ,0.31 ,0.52 ,0.70 ,5.67 ,46.23 
SIMPAC,' 09160,기타장비제조업,전기전자/기계업,3 ,2.77 ,2.10 ,2.10 ,4.25 ,2.55 ,1.70 ,15.47 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,2.00 ,8.35 ,1.19 ,0.50 ,0.92 ,2.61 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,1.47 ,2.00 ,1.77 ,0.62 ,6.36 ,1.10 ,0.25 ,0.53 ,0.26 ,0.79 ,,0.25 ,0.27 ,0.55 ,0.70 ,4.69 ,46.22 
현대하이스코,' 10520,제1차금속산업,금속/비금속/화학업,1 ,1.92 ,2.55 ,2.55 ,2.75 ,2.55 ,1.40 ,13.72 ,0.55 ,1.70 ,1.70 ,2.00 ,2.00 ,0.50 ,8.45 ,1.67 ,1.70 ,1.00 ,4.38 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,0.50 ,2.00 ,1.01 ,0.50 ,0.50 ,4.51 ,1.40 ,0.55 ,0.46 ,0.26 ,1.00 ,,0.32 ,0.28 ,0.54 ,0.70 ,5.51 ,46.22 
현대시멘트,' 06390,비금속광물제조업,금속/비금속/화학업,1 ,2.82 ,2.55 ,2.55 ,3.50 ,1.65 ,1.40 ,14.47 ,0.55 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.45 ,2.00 ,0.50 ,3.00 ,5.50 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,0.75 ,2.55 ,5.70 ,0.50 ,0.78 ,1.52 ,0.88 ,0.61 ,4.29 ,1.10 ,0.25 ,0.49 ,0.26 ,1.00 ,,0.53 ,0.31 ,0.36 ,0.25 ,4.54 ,46.20 
태경산업,' 15890,화학제품제조업,금속/비금속/화학업,2 ,2.00 ,2.55 ,2.55 ,5.00 ,1.20 ,1.70 ,15.00 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.19 ,0.50 ,3.00 ,4.69 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,1.85 ,0.98 ,0.68 ,0.66 ,4.68 ,1.10 ,0.25 ,0.72 ,0.26 ,1.00 ,,0.90 ,0.29 ,0.55 ,0.40 ,5.46 ,46.18 
벽산건설,' 02530,종합건설업,비제조/서비스업,1 ,2.55 ,2.55 ,2.55 ,3.50 ,2.10 ,1.70 ,14.95 ,0.85 ,1.70 ,1.10 ,2.00 ,2.00 ,1.10 ,8.75 ,0.73 ,1.70 ,1.38 ,3.82 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,2.00 ,0.99 ,0.85 ,0.69 ,5.04 ,1.65 ,,0.61 ,0.26 ,,0.55 ,0.85 ,0.29 ,0.47 ,,4.67 ,46.18 
대원강업,' 00430,자동차제조,전기전자/기계업,1 ,2.90 ,2.10 ,3.00 ,3.50 ,1.65 ,1.10 ,14.25 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,2.00 ,8.35 ,2.00 ,0.80 ,0.76 ,3.56 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,0.95 ,2.00 ,0.51 ,5.96 ,1.10 ,0.70 ,0.55 ,0.26 ,1.00 ,,0.32 ,0.28 ,0.53 ,0.55 ,5.30 ,46.16 
아세아시멘트,' 02030,비금속광물제조업,금속/비금속/화학업,1 ,3.03 ,1.65 ,2.55 ,4.25 ,1.65 ,1.40 ,14.53 ,0.55 ,1.70 ,1.70 ,1.60 ,0.50 ,0.50 ,6.55 ,1.61 ,1.40 ,1.79 ,4.80 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,0.75 ,2.55 ,5.70 ,1.50 ,2.00 ,0.81 ,0.97 ,0.92 ,6.21 ,1.10 ,0.40 ,0.32 ,0.26 ,1.00 ,,0.63 ,0.35 ,0.35 ,0.25 ,4.66 ,46.14 
동국제강,' 01230,제1차금속산업,금속/비금속/화학업,1 ,3.19 ,2.55 ,2.10 ,2.00 ,1.65 ,1.10 ,12.59 ,0.55 ,1.10 ,1.70 ,2.00 ,2.00 ,0.50 ,7.85 ,2.00 ,1.10 ,2.03 ,5.13 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,1.50 ,2.00 ,1.01 ,0.50 ,0.50 ,5.51 ,0.50 ,0.25 ,1.00 ,0.26 ,1.00 ,,0.65 ,0.27 ,0.76 ,0.70 ,5.40 ,46.13 
세아제강,' 03030,제1차금속산업,금속/비금속/화학업,1 ,1.89 ,2.55 ,2.55 ,2.75 ,1.65 ,1.10 ,12.49 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,1.50 ,8.25 ,1.98 ,0.50 ,3.00 ,5.48 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,0.75 ,2.55 ,5.70 ,1.50 ,2.00 ,1.11 ,0.65 ,0.50 ,5.76 ,1.10 ,0.25 ,0.75 ,0.26 ,1.00 ,,0.44 ,0.26 ,0.59 ,0.55 ,5.20 ,46.13 
두산인프라코어,' 42670,기타장비제조업,전기전자/기계업,1 ,2.83 ,2.55 ,3.00 ,2.00 ,1.65 ,1.40 ,13.43 ,0.25 ,0.50 ,1.70 ,2.00 ,2.00 ,2.00 ,8.45 ,2.00 ,1.10 ,0.78 ,3.88 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.90 ,1.12 ,1.48 ,6.00 ,1.70 ,0.55 ,0.54 ,0.26 ,1.00 ,,0.41 ,0.30 ,0.38 ,0.70 ,5.85 ,46.12 
삼익LMS,' 04380,기타장비제조업,전기전자/기계업,2 ,1.68 ,1.65 ,2.55 ,4.25 ,2.10 ,1.40 ,13.63 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,1.19 ,0.50 ,2.19 ,3.88 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,1.50 ,2.00 ,0.72 ,1.61 ,0.71 ,6.54 ,1.40 ,0.25 ,0.70 ,0.26 ,0.93 ,,0.45 ,0.30 ,0.55 ,0.40 ,5.24 ,46.09 
화신,' 10690,자동차제조,전기전자/기계업,2 ,1.68 ,1.20 ,3.00 ,4.25 ,1.65 ,0.80 ,12.58 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,2.00 ,0.50 ,3.00 ,5.50 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.72 ,1.05 ,1.14 ,5.40 ,0.80 ,0.40 ,0.53 ,0.26 ,1.00 ,,0.33 ,0.28 ,0.42 ,0.70 ,4.73 ,46.07 
동화약품공업,' 00020,화학제품제조업,식약/섬유/종이업,2 ,2.77 ,2.10 ,2.55 ,3.50 ,2.55 ,1.70 ,15.17 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,1.50 ,8.85 ,0.60 ,1.70 ,1.62 ,3.92 ,1.00 ,0.75 ,0.50 ,2.25 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.74 ,2.00 ,0.93 ,6.17 ,1.10 ,0.55 ,0.39 ,0.26 ,1.00 ,,0.41 ,0.31 ,0.43 ,0.40 ,4.85 ,46.01 
디아이,' 03160,정밀기기제조,전기전자/기계업,2 ,3.30 ,2.10 ,2.10 ,4.25 ,1.65 ,1.70 ,15.10 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,1.19 ,0.50 ,0.91 ,2.60 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,0.50 ,2.00 ,1.03 ,1.34 ,0.78 ,5.66 ,1.70 ,0.25 ,0.73 ,0.27 ,1.00 ,,0.41 ,0.28 ,0.70 ,0.40 ,5.73 ,46.00 
덕성,' 04830,고무제품제조,금속/비금속/화학업,3 ,2.91 ,1.20 ,2.55 ,4.25 ,1.65 ,1.70 ,14.26 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,1.19 ,0.50 ,0.76 ,2.45 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,0.50 ,2.00 ,1.18 ,1.67 ,1.33 ,6.67 ,1.40 ,0.40 ,0.31 ,0.26 ,1.00 ,,0.30 ,0.34 ,0.40 ,0.85 ,5.26 ,45.99 
